Categorii de unitati de invatamant, Forme de proprietate , Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Total, Total, TOTAL, Anul 1990, Numar, 28303
Total, Total, TOTAL, Anul 1991, Numar, 28951
Total, Total, TOTAL, Anul 1992, Numar, 29129
Total, Total, TOTAL, Anul 1993, Numar, 29376
Total, Total, TOTAL, Anul 1994, Numar, 29327
Total, Total, TOTAL, Anul 1995, Numar, 29536
Total, Total, TOTAL, Anul 1996, Numar, 29815
Total, Total, TOTAL, Anul 1997, Numar, 29084
Total, Total, TOTAL, Anul 1998, Numar, 29409
Total, Total, TOTAL, Anul 1999, Numar, 27633
Total, Total, TOTAL, Anul 2000, Numar, 24481
Total, Total, TOTAL, Anul 2001, Numar, 24304
Total, Total, TOTAL, Anul 2002, Numar, 23679
Total, Total, TOTAL, Anul 2003, Numar, 18012
Total, Total, TOTAL, Anul 2004, Numar, 14396
Total, Total, TOTAL, Anul 2005, Numar, 11865
Total, Total, TOTAL, Anul 2006, Numar, 8484
Total, Total, TOTAL, Anul 2007, Numar, 8230
Total, Total, TOTAL, Anul 2008, Numar, 8221
Total, Total, TOTAL, Anul 2009, Numar, 8244
Total, Total, TOTAL, Anul 2010, Numar, 7588
Total, Total, TOTAL, Anul 2011, Numar, 7204
Total, Total, TOTAL, Anul 2012, Numar, 7069
Total, Total, TOTAL, Anul 2013, Numar, 7074
Total, Total, TOTAL, Anul 2014, Numar, 7127
Total, Total, TOTAL, Anul 2015, Numar, 7108
Total, Total, TOTAL, Anul 2016, Numar, 7010
Total, Total, TOTAL, Anul 2017, Numar, 7047
Total, Total, TOTAL, Anul 2018, Numar, 7020
Total, Total, TOTAL, Anul 2019, Numar, 7001
Total, Total, TOTAL, Anul 2020, Numar, 6970
Total, Total, TOTAL, Anul 2021, Numar, 7015
Total, Total, TOTAL, Anul 2022, Numar, 7072
